#
# Table G22: Frequency-domain of first DATA symbol
#
#  sc   real     imag
  -32   0.0000   0.0000
  -31   0.0000   0.0000
  -30   0.0000   0.0000
  -29   0.0000   0.0000
  -28   0.0000   0.0000
  -27   0.0000   0.0000
  -26  -0.3160   0.3160
  -25  -0.3160   0.3160
  -24   0.3160   0.3160
  -23  -0.9490  -0.9490
  -22   0.3160   0.9490
  -21   1.0000   0.0000
  -20   0.3160   0.3160
  -19   0.3160  -0.9490
  -18  -0.3160  -0.9490
  -17  -0.3160   0.3160
  -16  -0.9490   0.3160
  -15  -0.9490  -0.9490
  -14  -0.9490  -0.9490
  -13   0.9490   0.3160
  -12   0.3160   0.3160
  -11  -0.9490  -0.3160
  -10  -0.9490  -0.3160
   -9  -0.9490  -0.3160
   -8  -0.9490  -0.9490
   -7   1.0000   0.0000
   -6   0.9490  -0.3160
   -5   0.9490   0.9490
   -4  -0.9490  -0.3160
   -3   0.3160  -0.3160
   -2  -0.9490  -0.3160
   -1  -0.9490   0.9490
    0   0.0000   0.0000
    1  -0.3160   0.9490
    2   0.3160   0.9490
    3  -0.9490   0.3160
    4   0.9490  -0.9490
    5   0.3160   0.3160
    6  -0.3160  -0.3160
    7   1.0000   0.0000
    8  -0.3160   0.9490
    9   0.9490  -0.3160
   10  -0.9490  -0.3160
   11   0.9490   0.3160
   12  -0.3160   0.9490
   13   0.9490   0.3160
   14   0.9490  -0.3160
   15   0.9490  -0.9490
   16  -0.3160  -0.9490
   17  -0.9490   0.3160
   18  -0.9490  -0.9490
   19  -0.9490  -0.9490
   20  -0.9490  -0.9490
   21  -1.0000   0.0000
   22   0.3160  -0.3160
   23   0.9490   0.3160
   24  -0.9490   0.3160
   25  -0.3160   0.9490
   26   0.3160  -0.3160
   27   0.0000   0.0000
   28   0.0000   0.0000
   29   0.0000   0.0000
   30   0.0000   0.0000
   31   0.0000   0.0000
