#
# Table G3: Time-domain short sequence (one period)
#
#  sc   real     imag
    0   0.0460   0.0460
    1  -0.1320   0.0020
    2  -0.0130  -0.0790
    3   0.1430  -0.0130
    4   0.0920   0.0000
    5   0.1430  -0.0130
    6  -0.0130  -0.0790
    7  -0.1320   0.0020
    8   0.0460   0.0460
    9   0.0020  -0.1320
   10  -0.0790  -0.0130
   11  -0.0130   0.1430
   12   0.0000   0.0920
   13  -0.0130   0.1430
   14  -0.0790  -0.0130
   15   0.0020  -0.1320
   16   0.0460   0.0460
   17  -0.1320   0.0020
   18  -0.0130  -0.0790
   19   0.1430  -0.0130
   20   0.0920   0.0000
   21   0.1430  -0.0130
   22  -0.0130  -0.0790
   23  -0.1320   0.0020
   24   0.0460   0.0460
   25   0.0020  -0.1320
   26  -0.0790  -0.0130
   27  -0.0130   0.1430
   28   0.0000   0.0920
   29  -0.0130   0.1430
   30  -0.0790  -0.0130
   31   0.0020  -0.1320
   32   0.0460   0.0460
   33  -0.1320   0.0020
   34  -0.0130  -0.0790
   35   0.1430  -0.0130
   36   0.0920   0.0000
   37   0.1430  -0.0130
   38  -0.0130  -0.0790
   39  -0.1320   0.0020
   40   0.0460   0.0460
   41   0.0020  -0.1320
   42  -0.0790  -0.0130
   43  -0.0130   0.1430
   44   0.0000   0.0920
   45  -0.0130   0.1430
   46  -0.0790  -0.0130
   47   0.0020  -0.1320
   48   0.0460   0.0460
   49  -0.1320   0.0020
   50  -0.0130  -0.0790
   51   0.1430  -0.0130
   52   0.0920   0.0000
   53   0.1430  -0.0130
   54  -0.0130  -0.0790
   55  -0.1320   0.0020
   56   0.0460   0.0460
   57   0.0020  -0.1320
   58  -0.0790  -0.0130
   59  -0.0130   0.1430
   60   0.0000   0.0920
   61  -0.0130   0.1430
   62  -0.0790  -0.0130
   63   0.0020  -0.1320
