#
# Table G4: Time-domain short sequence (full PLCP sequence)
#
#  sc   real     imag
    0   0.0230   0.0230
    1  -0.1320   0.0020
    2  -0.0130  -0.0790
    3   0.1430  -0.0130
    4   0.0920   0.0000
    5   0.1430  -0.0130
    6  -0.0130  -0.0790
    7  -0.1320   0.0020
    8   0.0460   0.0460
    9   0.0020  -0.1320
   10  -0.0790  -0.0130
   11  -0.0130   0.1430
   12   0.0000   0.0920
   13  -0.0130   0.1430
   14  -0.0790  -0.0130
   15   0.0020  -0.1320
   16   0.0460   0.0460
   17  -0.1320   0.0020
   18  -0.0130  -0.0790
   19   0.1430  -0.0130
   20   0.0920   0.0000
   21   0.1430  -0.0130
   22  -0.0130  -0.0790
   23  -0.1320   0.0020
   24   0.0460   0.0460
   25   0.0020  -0.1320
   26  -0.0790  -0.0130
   27  -0.0130   0.1430
   28   0.0000   0.0920
   29  -0.0130   0.1430
   30  -0.0790  -0.0130
   31   0.0020  -0.1320
   32   0.0460   0.0460
   33  -0.1320   0.0020
   34  -0.0130  -0.0790
   35   0.1430  -0.0130
   36   0.0920   0.0000
   37   0.1430  -0.0130
   38  -0.0130  -0.0790
   39  -0.1320   0.0020
   40   0.0460   0.0460
   41   0.0020  -0.1320
   42  -0.0790  -0.0130
   43  -0.0130   0.1430
   44   0.0000   0.0920
   45  -0.0130   0.1430
   46  -0.0790  -0.0130
   47   0.0020  -0.1320
   48   0.0460   0.0460
   49  -0.1320   0.0020
   50  -0.0130  -0.0790
   51   0.1430  -0.0130
   52   0.0920   0.0000
   53   0.1430  -0.0130
   54  -0.0130  -0.0790
   55  -0.1320   0.0020
   56   0.0460   0.0460
   57   0.0020  -0.1320
   58  -0.0790  -0.0130
   59  -0.0130   0.1430
   60   0.0000   0.0920
   61  -0.0130   0.1430
   62  -0.0790  -0.0130
   63   0.0020  -0.1320
   64   0.0460   0.0460
   65  -0.1320   0.0020
   66  -0.0130  -0.0790
   67   0.1430  -0.0130
   68   0.0920   0.0000
   69   0.1430  -0.0130
   70  -0.0130  -0.0790
   71  -0.1320   0.0020
   72   0.0460   0.0460
   73   0.0020  -0.1320
   74  -0.0790  -0.0130
   75  -0.0130   0.1430
   76   0.0000   0.0920
   77  -0.0130   0.1430
   78  -0.0790  -0.0130
   79   0.0020  -0.1320
   80   0.0460   0.0460
   81  -0.1320   0.0020
   82  -0.0130  -0.0790
   83   0.1430  -0.0130
   84   0.0920   0.0000
   85   0.1430  -0.0130
   86  -0.0130  -0.0790
   87  -0.1320   0.0020
   88   0.0460   0.0460
   89   0.0020  -0.1320
   90  -0.0790  -0.0130
   91  -0.0130   0.1430
   92   0.0000   0.0920
   93  -0.0130   0.1430
   94  -0.0790  -0.0130
   95   0.0020  -0.1320
   96   0.0460   0.0460
   97  -0.1320   0.0020
   98  -0.0130  -0.0790
   99   0.1430  -0.0130
  100   0.0920   0.0000
  101   0.1430  -0.0130
  102  -0.0130  -0.0790
  103  -0.1320   0.0020
  104   0.0460   0.0460
  105   0.0020  -0.1320
  106  -0.0790  -0.0130
  107  -0.0130   0.1430
  108   0.0000   0.0920
  109  -0.0130   0.1430
  110  -0.0790  -0.0130
  111   0.0020  -0.1320
  112   0.0460   0.0460
  113  -0.1320   0.0020
  114  -0.0130  -0.0790
  115   0.1430  -0.0130
  116   0.0920   0.0000
  117   0.1430  -0.0130
  118  -0.0130  -0.0790
  119  -0.1320   0.0020
  120   0.0460   0.0460
  121   0.0020  -0.1320
  122  -0.0790  -0.0130
  123  -0.0130   0.1430
  124   0.0000   0.0920
  125  -0.0130   0.1430
  126  -0.0790  -0.0130
  127   0.0020  -0.1320
  128   0.0460   0.0460
  129  -0.1320   0.0020
  130  -0.0130  -0.0790
  131   0.1430  -0.0130
  132   0.0920   0.0000
  133   0.1430  -0.0130
  134  -0.0130  -0.0790
  135  -0.1320   0.0020
  136   0.0460   0.0460
  137   0.0020  -0.1320
  138  -0.0790  -0.0130
  139  -0.0130   0.1430
  140   0.0000   0.0920
  141  -0.0130   0.1430
  142  -0.0790  -0.0130
  143   0.0020  -0.1320
  144   0.0460   0.0460
  145  -0.1320   0.0020
  146  -0.0130  -0.0790
  147   0.1430  -0.0130
  148   0.0920   0.0000
  149   0.1430  -0.0130
  150  -0.0130  -0.0790
  151  -0.1320   0.0020
  152   0.0460   0.0460
  153   0.0020  -0.1320
  154  -0.0790  -0.0130
  155  -0.0130   0.1430
  156   0.0000   0.0920
  157  -0.0130   0.1430
  158  -0.0790  -0.0130
  159   0.0020  -0.1320
  160   0.0230   0.0230
