#
# Table G22: Frequency-domain of long sequence
#
#  sc   real     imag
  -32   0.0000   0.0000
  -31   0.0000   0.0000
  -30   0.0000   0.0000
  -29   0.0000   0.0000
  -28   0.0000   0.0000
  -27   0.0000   0.0000
  -26   1.0000   0.0000
  -25   1.0000   0.0000
  -24  -1.0000   0.0000
  -23  -1.0000   0.0000
  -22   1.0000   0.0000
  -21   1.0000   0.0000
  -20  -1.0000   0.0000
  -19   1.0000   0.0000
  -18  -1.0000   0.0000
  -17   1.0000   0.0000
  -16   1.0000   0.0000
  -15   1.0000   0.0000
  -14   1.0000   0.0000
  -13   1.0000   0.0000
  -12   1.0000   0.0000
  -11  -1.0000   0.0000
  -10  -1.0000   0.0000
   -9   1.0000   0.0000
   -8   1.0000   0.0000
   -7  -1.0000   0.0000
   -6   1.0000   0.0000
   -5  -1.0000   0.0000
   -4   1.0000   0.0000
   -3   1.0000   0.0000
   -2   1.0000   0.0000
   -1   1.0000   0.0000
    0   0.0000   0.0000
    1   1.0000   0.0000
    2  -1.0000   0.0000
    3  -1.0000   0.0000
    4   1.0000   0.0000
    5   1.0000   0.0000
    6  -1.0000   0.0000
    7   1.0000   0.0000
    8  -1.0000   0.0000
    9   1.0000   0.0000
   10  -1.0000   0.0000
   11  -1.0000   0.0000
   12  -1.0000   0.0000
   13  -1.0000   0.0000
   14  -1.0000   0.0000
   15   1.0000   0.0000
   16   1.0000   0.0000
   17  -1.0000   0.0000
   18  -1.0000   0.0000
   19   1.0000   0.0000
   20  -1.0000   0.0000
   21   1.0000   0.0000
   22  -1.0000   0.0000
   23   1.0000   0.0000
   24   1.0000   0.0000
   25   1.0000   0.0000
   26   1.0000   0.0000
   27   0.0000   0.0000
   28   0.0000   0.0000
   29   0.0000   0.0000
   30   0.0000   0.0000
   31   0.0000   0.0000
