#
# Table G6: Time-domain long sequence (full PLCP sequence)
#
#  sc   real     imag
    0  -0.0780   0.0000
    1   0.0120  -0.0980
    2   0.0920  -0.1060
    3  -0.0920  -0.1150
    4  -0.0030  -0.0540
    5   0.0750   0.0740
    6  -0.1270   0.0210
    7  -0.1220   0.0170
    8  -0.0350   0.1510
    9  -0.0560   0.0220
   10  -0.0600  -0.0810
   11   0.0700  -0.0140
   12   0.0820  -0.0920
   13  -0.1310  -0.0650
   14  -0.0570  -0.0390
   15   0.0370  -0.0980
   16   0.0620   0.0620
   17   0.1190   0.0040
   18  -0.0220  -0.1610
   19   0.0590   0.0150
   20   0.0240   0.0590
   21  -0.1370   0.0470
   22   0.0010   0.1150
   23   0.0530  -0.0040
   24   0.0980   0.0260
   25  -0.0380   0.1060
   26  -0.1150   0.0550
   27   0.0600   0.0880
   28   0.0210  -0.0280
   29   0.0970  -0.0830
   30   0.0400   0.1110
   31  -0.0050   0.1200
   32   0.1560   0.0000
   33  -0.0050  -0.1200
   34   0.0400  -0.1110
   35   0.0970   0.0830
   36   0.0210   0.0280
   37   0.0600  -0.0880
   38  -0.1150  -0.0550
   39  -0.0380  -0.1060
   40   0.0980  -0.0260
   41   0.0530   0.0040
   42   0.0010  -0.1150
   43  -0.1370  -0.0470
   44   0.0240  -0.0590
   45   0.0590  -0.0150
   46  -0.0220   0.1610
   47   0.1190  -0.0040
   48   0.0620  -0.0620
   49   0.0370   0.0980
   50  -0.0570   0.0390
   51  -0.1310   0.0650
   52   0.0820   0.0920
   53   0.0700   0.0140
   54  -0.0600   0.0810
   55  -0.0560  -0.0220
   56  -0.0350  -0.1510
   57  -0.1220  -0.0170
   58  -0.1270  -0.0210
   59   0.0750  -0.0740
   60  -0.0030   0.0540
   61  -0.0920   0.1150
   62   0.0920   0.1060
   63   0.0120   0.0980
   64  -0.1560   0.0000
   65   0.0120  -0.0980
   66   0.0920  -0.1060
   67  -0.0920  -0.1150
   68  -0.0030  -0.0540
   69   0.0750   0.0740
   70  -0.1270   0.0210
   71  -0.1220   0.0170
   72  -0.0350   0.1510
   73  -0.0560   0.0220
   74  -0.0600  -0.0810
   75   0.0700  -0.0140
   76   0.0820  -0.0920
   77  -0.1310  -0.0650
   78  -0.0570  -0.0390
   79   0.0370  -0.0980
   80   0.0620   0.0620
   81   0.1190   0.0040
   82  -0.0220  -0.1610
   83   0.0590   0.0150
   84   0.0240   0.0590
   85  -0.1370   0.0470
   86   0.0010   0.1150
   87   0.0530  -0.0040
   88   0.0980   0.0260
   89  -0.0380   0.1060
   90  -0.1150   0.0550
   91   0.0600   0.0880
   92   0.0210  -0.0280
   93   0.0970  -0.0830
   94   0.0400   0.1110
   95  -0.0050   0.1200
   96   0.1560   0.0000
   97  -0.0050  -0.1200
   98   0.0400  -0.1110
   99   0.0970   0.0830
  100   0.0210   0.0280
  101   0.0600  -0.0880
  102  -0.1150  -0.0550
  103  -0.0380  -0.1060
  104   0.0980  -0.0260
  105   0.0530   0.0040
  106   0.0010  -0.1150
  107  -0.1370  -0.0470
  108   0.0240  -0.0590
  109   0.0590  -0.0150
  110  -0.0220   0.1610
  111   0.1190  -0.0040
  112   0.0620  -0.0620
  113   0.0370   0.0980
  114  -0.0570   0.0390
  115  -0.1310   0.0650
  116   0.0820   0.0920
  117   0.0700   0.0140
  118  -0.0600   0.0810
  119  -0.0560  -0.0220
  120  -0.0350  -0.1510
  121  -0.1220  -0.0170
  122  -0.1270  -0.0210
  123   0.0750  -0.0740
  124  -0.0030   0.0540
  125  -0.0920   0.1150
  126   0.0920   0.1060
  127   0.0120   0.0980
  128  -0.1560   0.0000
  129   0.0120  -0.0980
  130   0.0920  -0.1060
  131  -0.0920  -0.1150
  132  -0.0030  -0.0540
  133   0.0750   0.0740
  134  -0.1270   0.0210
  135  -0.1220   0.0170
  136  -0.0350   0.1510
  137  -0.0560   0.0220
  138  -0.0600  -0.0810
  139   0.0700  -0.0140
  140   0.0820  -0.0920
  141  -0.1310  -0.0650
  142  -0.0570  -0.0390
  143   0.0370  -0.0980
  144   0.0620   0.0620
  145   0.1190   0.0040
  146  -0.0220  -0.1610
  147   0.0590   0.0150
  148   0.0240   0.0590
  149  -0.1370   0.0470
  150   0.0010   0.1150
  151   0.0530  -0.0040
  152   0.0980   0.0260
  153  -0.0380   0.1060
  154  -0.1150   0.0550
  155   0.0600   0.0880
  156   0.0210  -0.0280
  157   0.0970  -0.0830
  158   0.0400   0.1110
  159  -0.0050   0.1200
  160   0.0780   0.0000
